AARON,0.0008056320701735619
ABBAS,0.00017382932634450298
ABDIRAHMAN,0.0008256893001363892
ABDUL,0.00045797341748455596
ABDULLAH,0.0006886315620570695
ABDULLAHI,0.0003610301393308908
ABDULRAHMAN,0.00019722942796780146
ABEL,0.0008022891985130907
ADAM,0.004780306474473832
ADRIAN,0.010152301232851069
AHMAD,0.0010162329847832482
AHMED,0.0014942636322306314
AIDEN,0.0005081164923916241
AILO,0.0010362902147460756
AKRAM,0.00024402963121439842
AKSEL,0.008454122429331693
ALAN,0.0009226325782900542
ALBERT,0.0026375257401117856
ALBIN,0.0001805150696654454
ALEKSANDER,0.004613162891450272
ALEX,0.0011198620062578557
ALEXANDER,0.008367207766159441
ALF,0.0004212018292193726
ALFRED,0.0033595860187735672
ALI,0.001885379616505763
ALVAR,0.00026074398951675447
ALVIN,0.0011165191345973845
AMADEUS,0.00020725804294921508
AMANDUS,0.00025740111785628326
AMAR,0.00024402963121439842
AMIN,0.0003543443960099484
AMIR,0.0010663760596903164
AMUND,0.002059208942850266
ANAS,0.0007320888936431952
ANDERS,0.00195892279303613
ANDRE,0.0008858609900248709
ANDREAS,0.008644666113978553
ANTHONY,0.0002473725028748696
ANTON,0.0028782124996657127
ANTONI,0.0006318027438290589
ANTONIO,0.0002406867595539272
ARAS,0.00014374348140026207
ARE,0.0003175728077447651
ARIAN,0.0011198620062578557
ARIJUS,0.0001203433797769636
ARIN,0.00024402963121439842
ARMAN,0.00047134490412644077
ARMIN,0.0002707726044981681
ARN,0.0005214879790335089
ARNAS,0.00025740111785628326
ARNE,0.0008591180167411013
ARON,0.004288904340384564
ARONAS,0.00016714358302356055
ARTHUR,0.0009928328831599498
ARTUR,0.0002640868611772257
ARVID,0.0002975155777819378
ARVIN,0.00032760142272617867
ARYAN,0.0005047736207311529
ASBJØRN,0.0003576872676704196
ASK,0.0020424945845479102
ASKIL,0.0001771721980049742
ASLAK,0.0010195758564437193
AUDUN,0.0008056320701735619
AUGUST,0.0025572968202604764
AUGUSTAS,0.0001771721980049742
AUNE,0.00018385794132591663
AXEL,0.0021828951942877007
AYAAN,0.00027745834781911055
AYAN,0.0002139437862701575
AYMAN,0.0003209156794052363
AYOUB,0.00014708635306073329
AYUB,0.00034097290936806353
BALDER,0.000585002540582462
BARTOSZ,0.00022731527291204237
BASTIAN,0.0011733479528253951
BEN,0.00022731527291204237
BENAS,0.0002707726044981681
BENDIK,0.0009460326799133528
BENJAMIN,0.009400155109245046
BERNARD,0.0002039151712887439
BERNHARD,0.0003242585510657075
BILAL,0.0004212018292193726
BILLY,0.00014708635306073329
BIRK,0.0028380980397400583
BJØRN,0.0019221512047709465
BJØRNAR,0.0005616024389591635
BO,0.0006786029470756559
BRAGE,0.00433236167197069
BREDE,0.0005248308506939801
BRIAN,0.0005081164923916241
BROR,0.00034097290936806353
BRUNO,0.00021728665793062873
BRYNJAR,0.00025740111785628326
CARL,0.0012636054876581178
CARLOS,0.00018720081298638782
CASPER,0.0037406733880672853
CASPIAN,0.0010329473430856042
CHARLIE,0.0005816596689219907
CHRIS,0.0005348594656753938
CHRISANDER,0.00029417270612146657
CHRISTER,0.00025740111785628326
CHRISTIAN,0.004349076030273046
CHRISTOFFER,0.0018084935683149253
CHRISTOPHER,0.0009694327815366513
COLIN,0.0007020030486989544
CONRAD,0.0004178589575589014
CORNELIUS,0.0006819458187361271
DAG,0.00020725804294921508
DAMIAN,0.00034097290936806353
DANI,0.0002106009146096863
DANIAL,0.00020725804294921508
DANIEL,0.010586874548712325
DANNY,0.00011700050811649239
DARIN,0.00031088706442382265
DAVID,0.005198165432032734
DAWID,0.000411173214237959
DENIS,0.00028080121947958176
DENIZ,0.00018385794132591663
DENNIS,0.0033629288904340384
DEXTER,0.00013371486641884845
DIDRIK,0.001203433797769636
DIEGO,0.00010028614981413634
DOMAS,0.00017382932634450298
DOMINIC,0.00027411547615863933
DOMINIK,0.00041451608589843016
DOMINYKAS,0.00031088706442382265
DOVYDAS,0.00018385794132591663
DYLAN,0.0002507153745353408
EBBE,0.0002139437862701575
EDGAR,0.0003175728077447651
EDIN,0.00027745834781911055
EDMUND,0.00020725804294921508
EDVALD,0.00014708635306073329
EDVARD,0.003556815446741369
EDVIN,0.0018753510015243496
EDWARD,0.000979461396518065
EDWIN,0.0006819458187361271
EIK,0.00024402963121439842
EILEV,0.00018720081298638782
EILIF,0.00028080121947958176
EINAR,0.002012408739603669
EIRIK,0.005218222661995561
EIVIND,0.002102666274436392
ELDAR,0.000411173214237959
ELIAH,0.0005983740272243468
ELIAN,0.0003376300377075923
ELIAS,0.011382478003904474
ELIJAH,0.00029082983446099536
ELLING,0.00017382932634450298
ELLIOT,0.0014441205573235633
ELLIOTT,0.00022397240125157116
ELMER,0.00015377209638167572
ELVIN,0.0002406867595539272
EMANUEL,0.0004980878774102105
EMIL,0.014347605166742439
EMILIAN,0.0021294092477201617
EMILIO,0.000411173214237959
EMILIS,0.00034431578102853475
EMIN,0.00020057229962827268
EMIR,0.0004780306474473832
EMMANUEL,0.000237343887893456
EMMETT,0.00013371486641884845
EMRE,0.0006117455138662316
EMRIK,0.002500468002032466
ENDRE,0.0010229187281041907
EREN,0.00012702912309790602
ERIC,0.0007153745353408392
ERIK,0.006645628861016768
ERLEND,0.001898751103147648
ERLING,0.0010062043698018345
ERYK,0.00020057229962827268
ESKIL,0.0023500387773112614
ESKILD,0.00011365763645602119
ESPEN,0.0007187174070013104
ETHAN,0.000237343887893456
EVAN,0.00032760142272617867
EVEN,0.005763110742652368
FABIAN,0.0012870055892814163
FALK,0.0004914021340892681
FELIX,0.0049775359024416335
FERDINAND,0.0009226325782900542
FILIP,0.0069832588987243606
FILLIP,0.0012702912309790603
FINN,0.0007822319685502634
FRANCISZEK,0.000474687775786912
FRANK,0.0002841440911400529
FREDERIK,0.00030754419276335143
FREDRIK,0.006177626828550799
GABRIEL,0.005632738747893991
